"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vvg&geo=g&sec=g&linechart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M&columnchart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200401&end=202401&ctype=linechart&ltype=pin&rtype=s&pin=ELEC.PRICE.US-IND.M&rse=0&maptype=0"
"Thu May 09 2024 19:41:07 GMT+0930 (Australian Central Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022","Feb 2022","Mar 2022","Apr 2022","May 2022","Jun 2022","Jul 2022","Aug 2022","Sep 2022","Oct 2022","Nov 2022","Dec 2022","Jan 2023","Feb 2023","Mar 2023","Apr 2023","May 2023","Jun 2023","Jul 2023","Aug 2023","Sep 2023","Oct 2023","Nov 2023","Dec 2023","Jan 2024"
"Pinned series",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Average retail price of electricity : United States : industrial : monthly","cents per kilowatthour","ELEC.PRICE.US-IND.M",5.01,5.04,5.04,5.09,5.18,5.46,5.63,5.65,5.41,5.25,5.09,5.14,5.23,5.26,5.30,5.31,5.42,5.86,6.14,6.20,6.17,6.03,5.83,5.94,5.78,5.98,5.88,5.93,6.00,6.41,6.61,6.65,6.37,6.16,6.04,6.00,6.13,6.16,6.22,6.19,6.27,6.59,6.71,6.84,6.52,6.46,6.28,6.26,6.33,6.34,6.46,6.64,6.75,7.35,7.72,7.55,7.31,7.19,6.93,6.79,6.92,6.90,6.81,6.75,6.77,7.09,7.10,7.10,6.89,6.70,6.40,6.54,6.50,6.55,6.53,6.55,6.64,6.97,7.23,7.22,7.00,6.80,6.56,6.60,6.53,6.63,6.53,6.53,6.68,7.14,7.32,7.39,7.15,6.77,6.53,6.51,6.44,6.45,6.46,6.38,6.53,6.89,7.13,7.08,6.97,6.62,6.50,6.52,6.50,6.66,6.64,6.58,6.75,7.25,7.45,7.37,7.22,6.87,6.65,6.66,6.98,7.12,6.99,6.77,6.83,7.39,7.62,7.51,7.37,7.07,6.75,6.70,6.67,6.88,6.83,6.61,6.74,7.11,7.45,7.35,7.21,6.88,6.61,6.45,6.44,6.42,6.46,6.44,6.57,7.03,7.23,7.23,7.14,6.73,6.66,6.67,6.59,6.63,6.71,6.60,6.78,7.19,7.31,7.22,7.17,6.91,6.73,6.54,6.94,6.78,6.63,6.57,6.79,7.17,7.32,7.25,7.05,6.87,6.85,6.67,6.58,6.69,6.73,6.51,6.69,6.87,7.14,7.40,7.06,6.84,6.72,6.38,6.37,6.44,6.39,6.39,6.54,6.94,7.16,7.07,7.00,6.72,6.49,6.41,6.32,7.75,6.98,6.70,6.65,7.22,7.42,7.54,7.61,7.44,7.37,7.06,7.19,7.28,7.37,7.70,8.25,8.85,9.31,9.38,9.06,8.45,8.14,8.50,8.32,8.10,7.79,7.50,7.62,8.08,8.32,8.87,8.44,8.01,7.81,7.66,8.10
"Net generation for all sectors","thousand megawatthours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.GEN..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-US-99.M",346546,314280,308812,290560,327380,345085,377332,368439,335622,312450,302101,341948,343121,298500,317458,289562,315062,363672,402274,404941,350218,316398,306115,348101,328658,307333,318730,297858,330616,364260,410421,407763,332055,321567,309159,336283,353531,323230,320471,303129,330203,362755,393226,421797,355394,332615,314103,346290,362998,325106,324630,305865,325245,373109,402900,388987,338056,318547,310046,343898,354993,300887,310603,289537,311306,347658,372542,381221,327401,307040,296635,350507,360957,319735,312168,287800,327936,375759,409725,408884,346045,307921,306010,362119,362872,313127,318710,302401,323628,367727,418693,406511,337931,308699,304102,335740,339526,309389,309090,295229,336516,360825,414641,395700,334586,311652,305976,334635,348967,309728,325399,299333,322156,356823,394846,385286,340941,314925,314540,353021,377251,324347,331821,297628,324719,357840,385775,384337,339883,314518,317491,337953,360453,334596,324314,294177,322189,362493,400535,392242,350190,312210,300779,324536,352714,313816,304427,292987,316867,367904,412043,409861,351560,312940,297065,345389,344414,291113,319469,295462,323494,358630,404537,384837,336004,318731,308189,350563,373379,307058,321765,301057,339228,372145,411617,408352,356558,325070,322466,342292,359729,315282,326903,296953,330661,353239,410365,401732,360760,320518,315897,338536,342019,319698,309870,279846,304837,351967,409871,398536,333493,313703,301403,344523,349210,323900,311397,293308,320181,373856,405624,412865,347744,320202,314310,337104,373766,324311,324531,303994,342184,379134,422976,412134,351655,313949,321781,360257,348031,309258,329920,299628,327493,356863,425902,424042,359047,329497,322103,346387,379799
"United States : coal","thousand megawatthours","ELEC.GEN.COW-US-99.M",180657,161503,154288,141471,157016,167642,181492,178181,164253,157605,157436,176755,177014,155818,163613,143083,153958,174867,186091,187574,171656,162437,158798,177965,169236,158616,161325,141426,157010,169693,187821,189455,161590,161390,159440,173509,175739,163603,159811,146250,157513,173513,185054,190135,169391,162234,159382,173830,182876,166666,160743,146983,154916,171043,186733,180576,161356,151841,154281,167786,171925,140916,135530,125935,131673,148087,158234,163260,137145,139956,136810,166434,173320,153044,144406,126952,143272,165491,179600,177745,148746,132270,135185,167258,170803,138311,134845,124488,137102,158055,176586,171281,140941,126627,121463,132929,129091,113872,105526,96285,115983,131261,160450,152181,125589,120999,128727,134079,138105,123547,130634,111835,119513,138283,152867,149426,133110,120996,120940,141860,157097,143294,136443,109281,118786,137577,149627,148452,126110,111296,119127,124620,132451,126977,108488,88989,104585,125673,139100,134670,117986,96759,87227,89495,113459,92705,72173,72113,81695,116034,136316,135635,114138,99194,86940,118747,115333,86822,89365,81335,92777,107508,127698,119488,98202,89776,90986,106545,119284,82050,80626,73346,85227,101503,115376,115129,96544,87264,92819,100319,100905,79929,78352,59922,71885,78540,100771,94040,85707,66777,75549,72581,65140,56201,50731,40675,46527,65283,89709,91145,68407,59805,61182,78588,81240,87470,61904,53956,63873,87265,101537,101855,78877,62572,57426,60025,87588,70966,61019,55329,62532,73463,86415,85215,64998,54228,56377,73381,61275,46488,50057,40141,43835,57700,79121,78187,60001,50956,51231,56271,75662
"United States : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-US-99.M",13509,7701,8098,7400,8511,9185,10337,9185,7070,5928,5270,8197,10261,5575,6472,5273,4823,8740,11039,12414,10452,8385,5199,11207,4246,3257,2407,3039,2902,4060,5121,6571,3043,3354,3355,3105,4420,7596,4118,3830,3489,4213,4125,5702,3647,3558,2001,2803,3131,2438,2112,2274,2343,3707,2983,2547,2990,1943,2191,3257,4968,2267,2089,1658,2053,2090,2124,2449,1677,1815,1315,1468,3187,1251,1272,1220,1851,2656,2970,2419,1675,1221,1220,2395,1902,1217,1276,1459,1356,1374,1714,1295,1119,1114,1082,1178,1180,907,971,965,1078,1306,1531,1202,978,1061,986,1235,1733,1130,990,995,1067,1035,1458,1076,964,945,989,1438,5913,1847,2002,911,960,889,992,1014,929,908,963,947,1927,5221,1061,919,1017,1040,1201,1093,1006,945,995,948,1396,1299,874,833,984,972,1273,1258,946,937,1070,1166,1102,869,956,860,970,991,920,968,931,973,915,1958,5555,804,830,872,1040,1066,988,1047,1055,1015,1006,966,1413,815,816,782,937,957,1004,1047,923,942,899,988,915,749,691,626,691,818,914,887,755,876,800,940,936,1589,791,802,835,932,883,1197,950,894,887,968,3105,1114,959,749,834,897,1045,1001,942,952,911,3296,995,1129,976,893,903,906,967,990,919,973,960,983,1493
"United States : petroleum coke","thousand megawatthours","ELEC.GEN.PC-US-99.M",1925,1665,1634,1641,1725,1657,1761,1893,1607,1738,1604,1903,1929,1740,1880,1679,1891,2043,1995,2114,1827,1793,1668,1827,1890,1667,1607,1651,1518,1706,1881,1788,1602,1538,1392,1466,1574,1287,1297,1250,1384,1564,1369,1485,1289,1189,1135,1412,1366,1231,1039,1126,1055,1255,1174,1264,1181,1343,1154,1137,1136,1051,1260,1148,1156,1153,1234,1193,1176,746,757,954,1161,1122,1198,1067,1143,1333,1441,1157,1108,1007,860,1128,1555,1217,1416,965,1023,1220,1440,1299,1305,948,701,1007,1297,994,570,538,651,762,809,916,882,744,824,800,1042,867,1007,891,1345,1307,1354,1372,1222,1074,850,1013,1158,916,1186,842,1084,1131,1050,1036,1019,609,775,1149,1046,1100,717,809,922,821,1103,1040,1028,827,715,749,966,910,927,1006,974,1005,1049,1078,980,635,799,869,944,723,699,431,847,901,889,765,712,572,755,737,965,754,642,666,517,834,913,879,799,562,656,795,800,692,574,401,737,563,791,684,581,200,333,463,633,540,704,614,610,801,837,787,439,351,612,751,702,660,645,422,534,453,681,747,638,655,783,591,564,621,500,528,596,683,488,576,648,610,568,744,406,335,323,301,286,383,702,701,635,312,206,289,317
"United States : natural gas","thousand megawatthours","ELEC.GEN.NG-US-99.M",48253,50320,49801,51822,62022,64686,79290,77821,67854,57229,49693,51310,51338,44913,51897,52016,54826,75635,96819,100787,73355,55941,49440,53993,43807,47409,54922,56091,65586,81060,108094,106592,72673,70640,53440,56128,61475,57622,56204,60153,66470,81511,97483,121338,88532,78358,60637,66808,72600,60042,62171,63046,62270,84620,100321,99673,79136,73283,61454,64364,66390,62139,68203,61159,68146,84205,101894,109240,92127,72603,63285,71590,74173,66198,63431,64644,73665,92268,114624,121151,93004,77738,69227,77573,74254,65924,65947,70029,75243,90691,119624,119856,91739,78819,75441,86122,90761,90610,92251,94829,107352,115598,138863,131736,108012,91725,80169,83989,88559,80283,84725,78036,83816,99615,120771,121156,102063,88587,84287,92936,91062,75945,78154,76785,89121,98470,115083,122350,106584,97685,84356,91040,101691,91440,99550,92856,101625,121568,141241,139216,123111,110110,102369,109892,110044,98688,103933,98974,110519,131523,151716,154926,125683,102898,93951,96416,95661,82837,95214,88562,98074,117351,147042,141308,118132,106895,95072,111553,110442,98675,106742,98672,115565,131086,165075,162001,142085,123280,108265,109955,121808,112397,116059,104349,117297,138087,172282,175270,149938,131113,117959,131973,136084,128018,126187,110564,117186,143055,181568,173644,141397,131413,109811,127863,126530,111183,107019,107416,114676,149376,170189,172716,138214,131852,122433,127586,134948,114945,112477,105506,127094,155517,189042,188860,156948,133492,127523,140716,137725,123928,132207,120294,137728,161827,200554,199995,165406,140963,135260,146174,160450
"United States : other gases","thousand megawatthours","ELEC.GEN.OOG-US-99.M",1182,1194,1292,1345,1302,1333,1284,1290,1341,1269,1216,1205,1126,1076,1214,1121,1191,1149,1161,1172,1145,1080,965,1062,1157,1114,1234,1180,1295,1167,1267,1292,1153,1185,1065,1068,1154,981,1234,1163,1175,1154,1154,1132,1120,1134,1031,1022,1063,972,1049,1021,1044,1132,1174,1147,823,806,721,753,807,784,834,758,773,876,966,1012,1022,960,910,930,909,825,1010,943,1017,964,963,1061,954,808,907,952,930,807,945,918,875,1013,1098,1087,1004,941,943,1005,1017,1044,1076,1057,1002,972,1042,1050,904,895,875,963,1144,968,1070,1020,1088,1048,1148,1143,1087,1072,1060,1006,933,817,866,854,944,969,1069,1135,1126,1082,1073,1153,1246,1025,1091,979,1099,1118,1235,1196,1210,906,902,1110,1195,1062,1197,1132,1053,1043,1077,1064,1020,913,1013,1037,1047,978,1060,1001,1056,993,1047,1133,1059,998,1001,1095,1097,1092,1158,1099,1167,1091,1172,1301,1104,1016,1045,1120,1025,948,1086,948,1054,1009,1185,1147,1112,924,1047,1107,1155,1152,1047,802,884,867,937,1094,1013,918,950,999,1035,820,860,871,914,974,1046,1031,984,1062,871,930,1005,886,953,921,1036,987,1083,1008,987,968,911,978,990,912,961,717,901,894,995,1151,951,913,999,1067,1029
