"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=02fg&geo=g&sec=g&linechart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M~ELEC.GEN.AOR-US-99.M~ELEC.GEN.WND-US-99.M~ELEC.GEN.SUN-US-99.M~ELEC.GEN.GEO-US-99.M~ELEC.GEN.WWW-US-99.M~ELEC.GEN.WAS-US-99.M&columnchart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M~ELEC.GEN.AOR-US-99.M~ELEC.GEN.WND-US-99.M~ELEC.GEN.SUN-US-99.M~ELEC.GEN.GEO-US-99.M~ELEC.GEN.WWW-US-99.M~ELEC.GEN.WAS-US-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200401&end=202401&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=ELEC.PRICE.US-IND.M"
"Thu May 09 2024 19:40:42 GMT+0930 (Australian Central Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022","Feb 2022","Mar 2022","Apr 2022","May 2022","Jun 2022","Jul 2022","Aug 2022","Sep 2022","Oct 2022","Nov 2022","Dec 2022","Jan 2023","Feb 2023","Mar 2023","Apr 2023","May 2023","Jun 2023","Jul 2023","Aug 2023","Sep 2023","Oct 2023","Nov 2023","Dec 2023","Jan 2024"
"Pinned series",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Average retail price of electricity : United States : industrial : monthly","cents per kilowatthour","ELEC.PRICE.US-IND.M",5.01,5.04,5.04,5.09,5.18,5.46,5.63,5.65,5.41,5.25,5.09,5.14,5.23,5.26,5.30,5.31,5.42,5.86,6.14,6.20,6.17,6.03,5.83,5.94,5.78,5.98,5.88,5.93,6.00,6.41,6.61,6.65,6.37,6.16,6.04,6.00,6.13,6.16,6.22,6.19,6.27,6.59,6.71,6.84,6.52,6.46,6.28,6.26,6.33,6.34,6.46,6.64,6.75,7.35,7.72,7.55,7.31,7.19,6.93,6.79,6.92,6.90,6.81,6.75,6.77,7.09,7.10,7.10,6.89,6.70,6.40,6.54,6.50,6.55,6.53,6.55,6.64,6.97,7.23,7.22,7.00,6.80,6.56,6.60,6.53,6.63,6.53,6.53,6.68,7.14,7.32,7.39,7.15,6.77,6.53,6.51,6.44,6.45,6.46,6.38,6.53,6.89,7.13,7.08,6.97,6.62,6.50,6.52,6.50,6.66,6.64,6.58,6.75,7.25,7.45,7.37,7.22,6.87,6.65,6.66,6.98,7.12,6.99,6.77,6.83,7.39,7.62,7.51,7.37,7.07,6.75,6.70,6.67,6.88,6.83,6.61,6.74,7.11,7.45,7.35,7.21,6.88,6.61,6.45,6.44,6.42,6.46,6.44,6.57,7.03,7.23,7.23,7.14,6.73,6.66,6.67,6.59,6.63,6.71,6.60,6.78,7.19,7.31,7.22,7.17,6.91,6.73,6.54,6.94,6.78,6.63,6.57,6.79,7.17,7.32,7.25,7.05,6.87,6.85,6.67,6.58,6.69,6.73,6.51,6.69,6.87,7.14,7.40,7.06,6.84,6.72,6.38,6.37,6.44,6.39,6.39,6.54,6.94,7.16,7.07,7.00,6.72,6.49,6.41,6.32,7.75,6.98,6.70,6.65,7.22,7.42,7.54,7.61,7.44,7.37,7.06,7.19,7.28,7.37,7.70,8.25,8.85,9.31,9.38,9.06,8.45,8.14,8.50,8.32,8.10,7.79,7.50,7.62,8.08,8.32,8.87,8.44,8.01,7.81,7.66,8.10
"Net generation for all sectors","thousand megawatthours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.GEN..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States : all fuels (utility-scale)",,"ELEC.GEN.ALL-US-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States : other renewables","thousand megawatthours","ELEC.GEN.AOR-US-99.M",6888,6489,7001,6895,7339,7098,7267,7027,6697,6851,6492,7024,7004,6221,7369,7201,7544,7636,7565,7236,7294,7182,7322,7756,8435,7374,8199,7860,8036,7782,8121,7894,7720,8295,8304,8505,8668,7877,8778,8693,8621,8549,8371,8895,8843,9362,9029,9553,10243,9349,10703,10971,11100,11145,10333,9514,8924,10647,10782,12390,11739,11231,12950,12986,11864,11467,11187,11791,10524,12668,12810,13061,12805,10901,14654,15607,14631,14209,13107,13100,13227,13791,15782,15359,14742,16116,16650,18125,17638,17284,14000,14054,13048,16550,18589,17185,19904,16996,20201,18563,18898,18469,15726,15330,15402,19225,18217,21401,21518,20330,22810,23961,23254,20954,18593,17382,18991,21058,23030,21626,25493,21001,25851,26476,23822,24464,21044,19021,19893,22718,26807,22621,23121,22561,23943,26494,26182,22561,23454,22821,22647,24708,28065,28602,26679,28738,31084,29666,28711,26236,28372,24465,26529,29749,28819,32583,29929,30964,36935,36514,35193,32774,28588,26186,29297,35264,32359,32246,35762,33311,38256,38503,37268,38608,30071,33296,30679,32396,32077,34065,34409,32291,37935,41238,38898,36485,36724,34422,37439,39495,35194,36268,38708,40534,41951,43453,43902,45420,39371,38389,36585,41525,44699,43202,41790,38591,54426,52588,52059,44703,40003,45159,45997,47077,49195,52094,51246,52117,60371,64930,62847,55514,51265,45160,46126,49978,55182,51292,53213,56625,62075,62682,54516,50416,52255,51944,48875,55450,52600,53014,50138
"United States : wind","thousand megawatthours","ELEC.GEN.WND-US-99.M",999,1022,1291,1295,1702,1397,1164,1051,1090,1029,932,1172,1132,966,1561,1698,1746,1797,1421,1138,1468,1446,1610,1828,2383,1922,2359,2472,2459,2052,1955,1655,1879,2442,2540,2472,2452,2520,3047,3172,2952,2620,2158,2699,2867,3377,3095,3490,4273,3852,4782,5225,5340,5140,4008,3264,3111,4756,4994,6616,5951,5852,7099,7458,6262,5599,4955,5464,4651,6814,6875,6906,6854,5432,8589,9764,8698,8049,6724,6686,7106,7944,9748,9059,8550,10452,10545,12422,11772,10985,7489,7474,6869,10525,12439,10656,13631,11052,14027,12709,12540,11972,8823,8469,8790,12636,11648,14524,14739,14076,15756,17476,16239,13748,11094,9634,11674,13635,15803,13967,17911,14009,17736,18636,15601,15799,12187,10171,11520,14508,18867,14711,15162,14922,15308,17867,17151,13421,13675,13080,13972,16380,19682,20098,18466,20138,21939,20799,18848,16303,17618,13589,16404,20335,19406,23146,20799,22091,25731,25378,23068,20142,16120,13879,17912,24369,22615,22201,25599,23189,26464,26431,23953,24703,16447,19846,18520,21194,22016,24306,24301,22623,25773,28915,25779,22446,22101,19978,24513,27625,25184,26644,28121,29110,29320,29752,28378,30212,22866,23029,23186,28823,33129,32011,30060,26716,39205,36158,33787,26672,21716,27071,28998,32215,35751,39849,37416,37645,43031,46167,42124,33768,29475,24718,27331,32745,41199,38680,39212,42184,44580,43072,32066,27545,27903,28546,28230,36484,37042,38371,34976
"United States : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-US-99.M",13,11,53,57,82,88,82,73,61,34,15,8,9,13,38,58,81,88,72,76,61,38,13,3,13,20,33,52,71,70,62,83,54,32,16,3,13,19,48,54,84,84,86,75,68,49,24,5,16,36,75,94,99,128,111,105,93,60,29,19,7,30,78,99,110,103,121,116,95,68,40,21,10,33,76,112,153,176,161,156,138,75,77,44,40,85,122,164,191,223,191,229,186,159,107,121,95,135,231,319,463,527,510,461,458,431,347,349,310,433,619,667,753,871,829,944,949,988,824,850,751,835,1317,1487,1750,1923,1788,1879,1832,1717,1380,1032,1155,1484,2072,2379,2504,2558,2627,2688,2217,1910,1730,1570,1486,2242,2617,2880,3425,3473,3945,3969,3635,3191,2767,2424,2324,2751,4514,4907,5785,6115,5569,5369,5059,4650,3209,3035,3319,3896,5056,6057,6849,7415,6755,6695,5961,4970,3743,3110,3580,3836,5899,6752,7162,7971,8133,7877,6817,6093,4364,3453,4459,5561,6350,7921,9653,9654,10610,9315,7732,7085,5767,5091,5559,6330,9296,10892,12457,12197,12192,11967,11214,9268,7795,6091,7822,9027,11695,13402,15121,16053,15766,14503,13287,11942,8403,6777,7982,9251,12144,14755,16927,17631,18880,17816,15563,14082,10271,9200,9651
"United States : geothermal","thousand megawatthours","ELEC.GEN.GEO-US-99.M",1295,1214,1241,1161,1208,1225,1278,1257,1188,1276,1212,1256,1252,1063,1204,1187,1264,1248,1273,1254,1223,1247,1220,1257,1230,1111,1261,1129,1096,1199,1261,1289,1219,1275,1207,1290,1296,1122,1204,1158,1155,1238,1250,1255,1218,1265,1211,1266,1209,1087,1251,1218,1259,1260,1279,1273,1234,1277,1233,1261,1289,1168,1300,1222,1235,1209,1255,1251,1217,1221,1273,1368,1312,1159,1307,1240,1311,1264,1274,1297,1253,1222,1252,1330,1347,1215,1337,1239,1318,1215,1269,1275,1226,1281,1271,1324,1263,1193,1285,1248,1304,1277,1321,1304,1300,1329,1347,1390,1382,1236,1378,1274,1308,1278,1337,1322,1299,1363,1230,1366,1355,1206,1338,1314,1332,1293,1320,1329,1308,1345,1362,1375,1362,1260,1394,1272,1390,1302,1357,1344,1203,1323,1334,1377,1332,1243,1315,1209,1342,1251,1311,1324,1327,1353,1364,1454,1407,1239,1387,1341,1302,1284,1373,1363,1332,1214,1305,1381,1341,1274,1367,1188,1383,1300,1370,1367,1328,1273,1331,1446,1390,1293,1422,1254,1342,1328,1375,1393,1368,1141,984,1183,1148,1230,1465,1379,1362,1274,1331,1323,1288,1288,1399,1403,1347,1287,1242,1288,1335,1277,1351,1337,1343,1319,1366,1484,1470,1243,1286,1282,1327,1276,1341,1354,1329,1298,1397,1482,1558,1302,1380,1347,1371,1273,1303,1341,1351,1414,1410,1413,1368
"United States : biomass",,"ELEC.GEN.BIO-US-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
